company_name,company_type,main_job,detail_job,location,qualification,process
펄어비스,중견기업,,검은사막 PC 중국 운영 담당자,경기 과천시,"원어민 수준의 중국어 사용이 가능하신 분
하나의 게임을 오랜 시간 플레이한 경험이 있거나, PC MMORPG에 대한 이해도가 있으신 분
실시간으로 변화하는 라이브 서비스 환경 흐름에 맞춰 협업하실 수 있는 분
유저를 최우선으로 생각하는 서비스 마인드와 책임감 있는 직업의식을 갖추신 분
원만한 커뮤니케이션 능력을 보유하신 분
업무에 대한 적극성을 갖고 새로운 배움에 주저함이 없으신 분
해외 출장 결격 사유 없으신 분","[전형 안내]
서류전형 - 필기전형 - 면접전형 - 최종합격"
네이버웹툰,대기업,,퍼포먼스 마케팅 크리에이티브,경기 성남시 분당구,"- 영어 네이티브 또는 해당 수준의 언어 능력을 갖추신 분
- Adobe Premiere와 After Effects를 능숙하게 다루며 숏폼 영상 제작 경험이 있으신 분
- 웹툰을 좋아하고, 엔터테인먼트 콘텐츠(영화, 드라마, 게임 등)에 관심이 많으신 분
- 영미권 국가의 MZ 콘텐츠 트렌드를 잘 캐치하시는 분","[전형 안내]
서류전형 - 면접전형 - 최종합격"
더존비즈온,중견기업,,,강원특별자치도 춘천시,"- HTML, CSS, JavaScript React, DOM 기본 이해도 보유자
- 컴퓨터공학 또는 소프트웨어 등 관련학과 전공자
- 관련 업무, 프로젝트 경험 보유자","[전형절차]
- 서류전형 > 1차 실무자면접 > 2차 임원면접 > 경력/평판조회 > 처우협의/채용검진 > 최종합격"
주식회사 누리미디어,중소기업,IT/인터넷,,,,
MBC,중견기업,,,서울 마포구,,
CJ ENM,대기업,,,서울 마포구,,
CJ ENM,대기업,,,서울 마포구,,
CJ ENM,대기업,,,서울 마포구,,
MBC,중견기업,,,서울 마포구,,
타라티피에스,중견기업,,국내사업본부_수주 영업,"서울 마포구, 경기 파주시","- 2025년 7월 입사 가능자
- 남성의 경우 병역필 또는 면제자
- 해외 출장에 결격사유 없는 자","[전형 안내]
서류전형 - 면접전형 - 최종합격"
AXA손해보험,금융권,,코어개발팀 자동차보험 시스템 개발자,서울 용산구,- 정규 4년제 대학교 졸업자 또는 졸업 예정자,
세정아이앤씨,중소기업,,IT인프라 운영,부산 금정구,"- 대졸 및 2025년 졸업예정자
- 이공계 전공
- H/W 장비에 대한 깊은 관심도","[전형 안내]
서류전형 - 면접전형 - 최종합격"
네이버클라우드,대기업,,,경기 성남시 분당구,,
일동제약,중견기업,,,"서울 서초구, 경기 화성시, 경기 안성시",,
디스트릭트코리아,중소기업,,웹기획/운영,서울 강남구,"- 미디어아트와 디지털 디자인에 관심이 있는 분
- Figma 사용이 가능하신 분
- 포토샵, 애프터이펙트, 프리미어, 일러스트레이터 활용이 가능하신 분
- HTML 및 DNS등의 웹사이트 개발 관련 지식과 활용이 가능하신 분
- 해외 출장에 결격사유가 없는 분","[전형 안내]
서류전형 - 면접전형 - 최종합격"
SK C&C USA INC,대기업,해외,,,,
라인플러스,대기업,,,경기 성남시 분당구,- 2025년 8월 이내 학사 이상의 학위 취득 예정 또는 경력 2년 미만의 기졸업자,
교보문고,대기업,,,서울 마포구,"• 대졸학력 소지자
• 대내외 원활한 커뮤니케이션 능력 보유자
• 능동적이며, 적극적인 사고방식 소유자
• 웹/모바일 서비스에 대한 지식 보유
• PostgreSQL 등 RDBMS 관련 지식 보유
• JAVA 개발 능력, Spring Framework 및 CI/CD에 대한 지식 보유자
• HTML, CSS, Javascript, JQuery 관련 지식 보유자


● 전형절차 및 일정
• 서류전형→면접전형→건강검진→최종합격",
진학사,중소기업,,,서울 종로구,,
토스인슈어런스,중소기업,,,서울 강남구,"- React, TypeScript 기반으로 안정적인 서비스를 개발할 수 있는 분을 찾고 있어요.
- 주어진 디자인 시안을 바탕으로 스스로 문제를 정의하고 빠르게 구현해낼 수 있는 분이면 좋아요.
- 단순히 주어진 개발을 해내는 것보다, 주도적으로 문제를 발견하고 분석해 솔루션을 제안할 수 있는 분이 필요해요.
- 레거시 코드를 최신의 개발 환경에 맞게 개선한 경험이나, 잘 모르던 기술 스택을 빠르게 학습해서 개발해나간 경험이 있으신 분이면 좋아요.

[이력서 작성 추천]
- 그동안의 경험을 단순 나열하는 것이 아닌, 경험 속에서의 임팩트 및 러닝 포인트를 기술해주세요.
- 고객의 보이스를 기반으로 빠르게 제품의 완성도를 높여가기 때문에, 주어진 문제를 스스로 해결해보려고 시도하는지 보고 있어요.
- 복잡도가 높은 서비스나 까다로운 요구사항을 구현한 경험이 있으면 기술해주세요. 특히 복잡하거나 반복되는 문제를 단순한 형태로 추상화한 경험을 설명해주시면 좋아요.
- 기존 소스 코드를 새로운 코드 베이스로 점진적으로 이관한 경험이 있으면 기술해주세요.",
토즈코리아,외국계기업,,E-Commerce Intern,서울 강남구,,
포티투닷,중소기업,,,경기 성남시 수정구,"-오디오 신호 처리 및 전처리 알고리즘 설계 경험 (AGC, AEC, NR 등)
-음성 인식 및 신호 분리 관련 경험 또는 이해
-MATLAB, Python, C/C++ 등 신호 처리 및 알고리즘 구현 언어 숙련도
-DSP 관련 개발 경험 및 디버깅 능력
-양산 프로젝트에서 일정 관리 및 요구사항 분석 경험
-팀 내 협업 및 외부 파트너와의 커뮤니케이션 능력
-차량용 오디오 시스템 개발 경험 (또는 유사 도메인 경험)
-다중 마이크 환경에서의 음향 기술 연구 또는 적용 경험",
샘표식품,중견기업,,,"서울 중구, 경기 이천시, 충북 영동군, 충북 청주시 흥덕구",,
LG CNS,대기업,,,서울 강서구,,
노르마,중소기업,,QPU 설계,서울 성동구,"- 3학년 이상 재학 중인 학생/대학원생
- 연관 분야 전공",
SFA반도체,중견기업,,,충남 천안시 서북구,"- 서류전형 > 1차면접 > 2차면접 > 최종합격

[접수기간]
- 2025.4.25 ~ 2025.5.6",
PTKOREA,외국계기업,,글로벌 콘텐츠 제작 디자이너 인턴,서울 강남구,"- 전문학사 이상이신 분 (기졸업자, 졸업 예정자, 휴학생)
- Adobe Photoshop, Illustrator, XD, Figma, Premiere 활용이 가능하신 분
- 그래픽 디자인 및 디자인 디테일 작업 능력이 뛰어나신 분
- 포트폴리오 제출이 가능하신 분(필수)","[전형 안내]
서류전형 - 면접전형 - 최종합격"
슈어소프트테크,중소기업,,,"경기 성남시 수정구, 대전 유성구",,
orskorea,외국계기업,,,경기 부천시 원미구,,
슈프리마,중소기업,,,경기 성남시 분당구,"- 컴퓨터 공학, 전자공학 또는 관련 분야의 학사 이상 학위를 보유하고 계시며, C/C++ 언어에 대한 깊은 이해와 실무 경험을 갖추신 분
- 라이브러리 개발 및 API 설계 능력: 동적 라이브러리(dll, so) 개발 경험과 함께, 표준 인터페이스 설계 및 API 문서화를 통해 모듈화된 소프트웨어 구현 경험이 있으신 분
- 학력 : 학사 이상",
지멘스,외국계기업,,,서울 종로구,,
효림그룹,중견기업,,XE_품질보증팀,"서울 강남구, 대구 달서구, 경북 경산시, 경남 창원시 성산구, 경북 경산시",,
PTKOREA,외국계기업,,글로벌 이러닝 플랫폼 운영관리 서포트 인턴,서울 강남구,"- 학사 이상이신 분 (기졸업자, 졸업 예정자, 휴학생)
- Excel 활용 우수자
- 영어 커뮤니케이션이 가능하신 분
- Web/App 플랫폼에 대한 이해도가 있으신 분","[전형 안내]
서류전형 - 면접전형 - 최종합격"
바비톡,중소기업,IT/인터넷,콘텐츠 마케터 체험형 인턴,,"영상 편집 프로그램 사용 능숙자면 좋아요.
Adobe 계열 Premiere Pro, After Effects 등 / 전문 영상 편집 프로그램이 아닌 캡컷 등 영상 제작 어플리케이션 서비스 활용한 영상 제작 스킬도 가능해요.
이미지 제작 능숙자여야해요.
포토샵 및 그 외 프로그램 활용해요.
오프라인 촬영이 가능해야해요.
촬영용품 대여, 촬영 진행 서포트 등 필요해요.","[전형 안내]
서류전형 - 면접전형 - 최종합격"
(사)이에스지노동사회협회,비영리단체/협회/재단,IT/인터넷,,,,
스카이랩스,스타트업,,HW 개발,경기 성남시 분당구,"대학 재학 또는 졸업자, 공학계열(전기/전자/컴퓨터/소프트웨어)
신입 가능","[전형 안내]
서류전형 - 면접전형 - 최종합격"
카카오페이,대기업,"경영/사무, IT/인터넷",카카오페이 보험 운영,,"엑셀을 능숙하게 사용하시는 분을 원해요.
SQL을 활용한 데이터 추출 및 가공을 할 수 있는 분을 원해요.
성실하고 꼼꼼한 분을 원해요.","[전형 안내]
서류 접수 > 면접전형 > 최종 합격"
한국자산관리공사,공공기관/공기업,,,"부산 남구, 강원특별자치도 강릉시, 대전 서구, 광주 서구, 서울 강남구",,
마야크루,스타트업,,,서울 마포구,,
플레이디,중소기업,,,경기 성남시 분당구,,
JYP엔터테인먼트,중소기업,,CTO Staff,서울 강동구,"- 컴퓨터 공학 계열 또는 관련 분야 전공자, 혹은 이에 준하는 경력 보유
- 최신 기술을 활용해 비즈니스 문제를 해결한 경험
- 전략적 사고력과 논리적인 문제 해결 능력, 데이터 기반 의사결정 역량 보유
- 팀 중심 환경에서 효과적으로 협업할 수 있는 커뮤니케이션 능력","[전형 안내]
서류 접수 > 면접전형 > 최종 합격"
비바리퍼블리카,스타트업,IT/인터넷,"Data Assistant (SQL, Tableau)",,"실무 sql을 활용해보신분이 필요해요.
복잡한 추출 요청도 고급 sql 능력을 통해 빠르게 추출해 내실 수 있는 분이 필요해요.
꼼꼼하게 데이터 정합성을 확인 하실 수 있는 분이 필요해요.
Tableau를 능숙하게 활용하실 수 있는 분이 필요해요
다른 직군의 팀원들과 원활하게 소통할 수 있는 능력이 필요해요.","[전형 안내]
서류 접수 > 사전 과제 > 직무 인터뷰 > 최종 합격"
네이버웹툰,대기업,,- 숏폼 콘텐츠 기획/제작,경기 성남시 분당구,"- 웹툰을 좋아하고, 웹툰 콘텐츠와 웹툰 서비스에 대한 이해가 풍부하신 분
- 인스타그램, 유튜브, 틱톡의 숏폼 콘텐츠 및 이용자에 대해 이해도가 높으신 분
- 영상 콘텐츠 제작 경험이 있고, 영상 프로그램 활용에 어려움이 없으신 분",
한국도로교통공단,공공기관/공기업,,정보보호,"서울 서초구, 강원특별자치도 강릉시, 제주특별자치도 제주시, 울산 남구, 전북특별자치도 전주시 완산구",하단 상세 공고 참조,"[전형 안내]
서류전형 > 필기전형 > 면접전형 > 최종합격"
펄어비스,중견기업,,게임플레이,경기 과천시,"졸업자, 졸업예정자",
한국보건의료정보원,공공기관/공기업,,기간제근로자_육휴대체_행정,"서울 중구, 서울 중구, 충북 청주시 흥덕구",하단 상세 공고 참조,"[전형 안내]
서류전형 - 면접전형 - 최종합격"
대구경북첨단의료산업진흥재단,비영리단체/협회/재단,,가.연구직[직속 및 전략기획본부],대구 동구,하단 상세 공고 참조,"[전형 안내]
서류전형 - 필기시험 - 면접전형 - 최종합격"
(주)힐링페이퍼,스타트업,,,서울 강남구,,
주식회사 어썸스쿨,중소기업,,,서울 영등포구,,
현대글로비스,대기업,,,"서울 성동구, 울산 남구, 충남 당진시, 충남 아산시, 경기 화성시",,
IBK기업은행,금융권,,,서울 중구,,
쿠팡,중소기업,,,서울 송파구,- 커뮤니케이션 능력,
토스페이먼츠,스타트업,,Product Designer [Tools],서울 강남구,"사용자가 원하는 제품이 될 때까지 VOC 수집, UX 설계, UI 디자인, Prototype을 통해 개선할 수 있는 역량이 필요해요.
내가 원하는 것이 아닌 사용자의 정성 혹은 정량적인 근거로 문제를 정의한 경험이 필요해요.
우선순위를 고려하여 목표를 설계하고 그 달성 여부를 정성 혹은 정량적으로 끝까지 분석하고 고민한 경험이 필요해요.
Web UI에 대한 이해도가 있는 분이 필요해요.
사용자의 비효율적인 업무 원인을 주도적으로 파악하고 효율적으로 개선하여, 업무 리소스를 단축시킨 경험이 있으면 좋아요.
궁극의 고객 경험을 달성하기 위해 논리적인 커뮤니케이션으로 구성원을 설득하고 협업한 경험이 있으면 좋아요.","[전형 안내]
서류접수 > 직무 인터뷰 > 문화적합성 인터뷰 > 레퍼런스 체크 > 처우협의 > 최종합격 및 입사"
한국지식재산보호원,비영리단체/협회/재단,,채용형 청년인턴,서울 강남구,하단 상세 공고 참조,"[전형 안내]
서류전형 - 필기전형 - 면접전형 - 최종입사"
한국세라믹기술원,비영리단체/협회/재단,,반도체 소재센터,"경영/사무, 연구개발/설계, IT/인터넷","∘ 연령이 만 34세 이하인 자
∘ 기술원 「인사 규정」 제7조(결격사유)에 해당하지 않는 자",
한국석유공사,공공기관/공기업,,,울산 중구,,
토스뱅크,중소기업,,,서울 강남구,"- Hadoop Ecosystem 환경 기반의 Python, Pyspark 프로그래밍에 능숙하신 분이 필요해요.
- Spark 같은 분산처리 엔지니어링을 활용해 대용량 데이터 처리를 해보신 분이 필요해요.
- Data Mesh/Medallion Architecture를 이해하고 데이터 모델링을 해오신 분이 필요해요.
- 분산 처리 기반 query engine의 동작 원리를 이해하고 튜닝이 가능하신 분이 필요해요.
- ETL 프로세스와 airflow orchestration 최적화를 통해 배치작업의 효율화를 경험해보신 분이 필요해요.
- 단순요청을 처리하는 것이 아닌 명확한 데이터 구조와 효율적인 데이터 활용 관점에서 기준을 제시할 수 있어야 해요.
- 다양한 이해관계자와 소통하여 데이터 요구사항을 구체화하고 정리하는 역량이 있어야 해요.

[합류 여정]
- 서류접수 > 직무 인터뷰 > 문화적합성 인터뷰 > 레퍼런스 체크 > 처우협의 > 최종합격 및 입사",
LG전자,대기업,,HS사업본부,"서울 영등포구, 경남 창원시 성산구, 경기 평택시",,
카카오,대기업,,,경기 성남시 분당구,,
한전KDN,공공기관/공기업,,,"경영/사무, 건설, 연구개발/설계, IT/인터넷",,
효성,대기업,,R&D_HVDC 시스템 설계/계통해석,경기 안양시 동안구,"학사/석사 학위를 취득하였거나, '25년 8월 졸업예정이신 분","[전형 안내]
서류전형 - 인적성 - 면접전형 - 최종합격"
효성ITX,대기업,,영업_IT솔루션 판매/제안,"서울 영등포구, 경기 평택시","학사/석사 학위를 취득하였거나, '25년 8월 졸업예정이신 분","[전형 안내]
서류전형 - 인적성 - 면접전형 - 최종합격"
에고이즘,중소기업,,AI Creative Specialist,서울 성동구,"생성형 AI 도구(Midjourney, DALL·E, Runway, GPT 등) 사용 경험
각, 분석, 자동화 등 한 가지 이상 업무에서 AI를 활용한 시도 경험
툴을 빠르게 익히고, 업무에 바로 적용할 수 있는 실행력 높으신 분
집협업 디자이너와 유연한 커뮤니케이션 능력
어떤 역할이든 ‘브랜드를 돋보이게 하는 것’에 관심이 있는 분","[전형 안내]
서류전형 - 면접전형 - 최종합격"
서울에너지공사,공공기관/공기업,,일반직7급(행정),"서울 양천구, 서울 노원구, 서울 강서구",하단 상세 공고 참조,"[전형 안내]
서류전형 - 필기전형 - 면접전형 - 최종합격"
독립기념관,공공기관/공기업,,사무직7급,충남 천안시 동남구,"연령, 성별 제한 없음 (※ 임용일 기준 만 60세 미만인 자에 한함)",
주식회사 인터엑스,스타트업,,,서울 금천구,,
주식회사 인터엑스,스타트업,,,울산 중구,,
주식회사 코드잇,스타트업,,,서울 중구,,
주식회사 인터엑스,스타트업,,,서울 금천구,,
신한은행,금융권,,IB,서울 중구,"해외대 석·박사 학위 보유자 (2025년 8월 이내 학위 취득 예정자 포함)
대한민국 남성의 경우, 군필자 또는 군면제자(군 복무중인 경우 2025년 7월 1일 이전 전역 가능한 자)
외국인의 경우 한국 내 취업에 결격사유가 없는 자
해외여행에 결격사유가 없는 자 및 당행 내규상 채용에 결격사유가 없는 자","[전형 안내]
서류전형 - 면접전형 - 최종합격"
SK ON,대기업,,,대전 유성구,,
한국하니웰,중견기업,,,서울 마포구,,
스타쉽엔터테인먼트,대기업,,,서울 강남구,"- 학력 : 초대졸 이상
- 경력 : 무관(신입/경력)
- 엔터테인먼트 및 문화 사업에 관심이 많은 분
- 맡은 일에 대한 관심과 열정, 책임감이 있으신 분",
경신,대기업,,채용연계형 인턴-영업-원가,"인천 연수구, 인천 연수구, 경기 화성시, 전북특별자치도 군산시, 경기 의왕시",,
앳홈,중소기업,"경영/사무, 마케팅/광고/홍보, IT/인터넷",인플루언서 커머스 AMD,,"유튜브, 인스타그램 등 콘텐츠 플랫폼을 자주 보고, 트렌드에 관심 많은 분
인플루언서, 뷰티, 라이브 커머스에 흥미 있는 분
오퍼레이션 업무를 체계적이고 꼼꼼하게 챙길 수 있는 분
엑셀, 구글스프레드시트 등 기본 툴을 다룰 수 있는 분
일을 맡았을 때 끝까지 책임감 있게 마무리할 수 있는 분","[전형 안내]
서류전형 - 면접전형 - 최종합격"
현대오토에버,대기업,,-디지털 경험-,"서울 강남구, 울산 북구, 경기 화성시, 충남 아산시, 경기 의왕시","최종학력 4년제 대졸 이상
남성의 경우 군필 또는 면제자
해외여행 결격사유가 없는 자
당사 채용결격사유에 해당되지 않는 자","[전형 안내]
ACT - 과제테스트/코딩테스트 - 1차 면접전형 - 2차 면접전형 - 채용검진 - 최종합격"
